time,originalSignal_1,originalSignal_2,reconstruction_1,reconstruction_2,norm_p,norm_P
0.0,0.25,0.775,0.24839834234284286,0.7983349135933139,0.0,0.0
0.010101010101010102,0.2702020202020202,0.775,0.26922145739919157,0.7958228807332105,0.10752927322515349,0.004585332723188421
0.020202020202020204,0.2904040404040404,0.775,0.2900445724555403,0.7933108478731072,0.21745256782199987,0.02180366702588757
0.030303030303030304,0.3106060606060606,0.775,0.310867687511889,0.7907988150130039,0.30772307783918557,0.04830875840575753
0.04040404040404041,0.33080808080808083,0.775,0.3316908025682377,0.7882867821529007,0.39187818483159975,0.08369463377624911
0.05050505050505051,0.351010101010101,0.775,0.3525139176245864,0.7857747492927973,0.4491632733442766,0.12716837459080665
0.06060606060606061,0.3712121212121212,0.775,0.3733370326809351,0.7832627164326941,0.4980191525746912,0.1741378363501128
0.07070707070707072,0.39141414141414144,0.775,0.39416014773728386,0.7807506835725908,0.5463867315692743,0.22705075389277257
0.08080808080808081,0.41161616161616166,0.775,0.4149832627936325,0.7782386507124874,0.5645685655026109,0.2830037607001379
0.09090909090909091,0.4318181818181818,0.775,0.4358063778499813,0.7757266178523841,0.5766619968814835,0.3392593234343219
0.10101010101010102,0.45202020202020204,0.775,0.45662949290633,0.7732145849922808,0.5887740157496701,0.3975682559126383
0.11111111111111112,0.4722222222222222,0.775,0.4774526079626787,0.7707025521321775,0.5960046119189008,0.4557444817275139
0.12121212121212122,0.49242424242424243,0.775,0.4982757230190274,0.7681905192720742,0.6151452928732609,0.5142382557808549
0.13131313131313133,0.5126262626262627,0.775,0.5190988380753762,0.7656784864119709,0.6288558571280503,0.5747051214136072
0.14141414141414144,0.5328282828282829,0.775,0.5399219531317249,0.7631664535518676,0.6186032123310411,0.6340698799218087
0.15151515151515152,0.553030303030303,0.775,0.5607450681880736,0.7606544206917643,0.6204575591255059,0.6908484426654268
0.16161616161616163,0.5732323232323233,0.775,0.5815681832444223,0.758142387831661,0.6468637968797589,0.7473653877020044
0.17171717171717174,0.5934343434343434,0.775,0.602391298300771,0.7556303549715577,0.6732632723095409,0.8025427508318055
0.18181818181818182,0.6136363636363636,0.775,0.6232144133571197,0.7531183221114544,0.7029871379720036,0.8580061197807658
0.19191919191919193,0.6338383838383839,0.775,0.6440375284134685,0.7506062892513511,0.733443618405602,0.9096508877270142
0.20202020202020204,0.6540404040404041,0.775,0.6648606434698171,0.7480942563912478,0.7509330884587974,0.9613682357370281
0.21212121212121213,0.6742424242424243,0.775,0.6856837585261658,0.7455822235311445,0.7913515827459139,1.0084246390222098
0.22222222222222224,0.6944444444444444,0.775,0.7055250710837635,0.7412104819751203,0.8947884594569715,1.0472469108570703
0.23232323232323235,0.7146464646464648,0.775,0.7218854475094254,0.7302452277699221,1.0353977860575683,1.0829035313050526
0.24242424242424243,0.7348484848484849,0.775,0.7382458239350873,0.719279973564724,1.198453039791751,1.1151561354612214
0.25252525252525254,0.8282828282828283,0.4474747474747474,0.7916460860740897,0.46347786352101317,1.1285351048558028,1.143050510790073
0.26262626262626265,0.8414141414141414,0.4373737373737373,0.8080064624997516,0.45251260931581505,0.8911506040521918,1.1653243148090877
0.27272727272727276,0.8545454545454546,0.4272727272727272,0.8243668389254136,0.4415473551106168,0.7526092919616466,1.1846470370888058
0.2828282828282829,0.8676767676767678,0.4171717171717171,0.8407272153510756,0.4305821009054186,0.643512213796465,1.2014591139068107
0.29292929292929293,0.8808080808080808,0.407070707070707,0.8570875917767374,0.4196168467002205,0.5233240464425757,1.2162471691578272
0.30303030303030304,0.893939393939394,0.3969696969696969,0.8734479682023994,0.40865159249502225,0.38995724932706166,1.226833615941072
0.31313131313131315,0.9070707070707071,0.3868686868686868,0.8898083446280614,0.39768633828982414,0.28425433964055535,1.2286955483488435
0.32323232323232326,0.9202020202020202,0.3767676767676767,0.9061687210537233,0.3867210840846259,0.24192461426396344,1.2242826790748051
0.33333333333333337,0.9333333333333333,0.3666666666666666,0.9225290974793853,0.3757558298794277,0.2288589204025787,1.213048087363831
0.3434343434343435,0.9464646464646466,0.3565656565656565,0.9388894739050472,0.36479057567422957,0.2400929012931427,1.1952770486794615
0.3535353535353536,0.9595959595959597,0.34646464646464636,0.9552498503307091,0.35382532146903134,0.27426879914945035,1.1721574753066815
0.36363636363636365,0.9727272727272728,0.3363636363636363,0.971610226756371,0.3428600672638332,0.2956691072436736,1.1462217782140633
0.37373737373737376,0.9858585858585859,0.3262626262626262,0.9879706031820329,0.331894813058635,0.30753554697386,1.1193449631571377
0.38383838383838387,0.9989898989898991,0.3161616161616161,1.004330979607695,0.32092955885343677,0.29396827970173567,1.0930297805218394
0.393939393939394,1.0121212121212122,0.306060606060606,1.0206913560333568,0.30996430464823854,0.314353066512598,1.0704189332998528
0.4040404040404041,1.0252525252525253,0.29595959595959587,1.0370517324590187,0.2989990504430404,0.34255119472391193,1.0434476071581709
0.4141414141414142,1.0383838383838384,0.28585858585858576,1.0534121088846806,0.2880337962378422,0.3032691137876253,1.0216687124385422
0.42424242424242425,1.0515151515151515,0.2757575757575757,1.0697724853103425,0.2770685420326441,0.2760171913729224,1.0013213516900548
0.43434343434343436,1.0646464646464646,0.2656565656565656,1.0861328617360044,0.26610328782744586,0.26396519313459066,0.9888427194561143
0.4444444444444445,1.077777777777778,0.2555555555555555,1.1024932381616663,0.25513803362224763,0.2572805997085877,0.9888418327077436
0.4545454545454546,1.0909090909090908,0.24545454545454537,1.1188536145873282,0.2441727794170495,0.2897475707020953,1.0012492228734111
