k,sizeActiveSet,constraintViolation,residual
0,0.0,52.13935398937403,0.038695009906250216
1,1.0,8.08246667949825,0.01094592701557073
2,2.0,2.908999773708669,0.0038538178326720865
3,3.0,2.023918573872706,0.0017674676505608881
4,4.0,2.916612262517423,0.0011205093547184443
5,5.0,0.7303510661859077,0.00040799132965172943
6,6.0,0.6968785243315325,0.0003694377397475655
7,7.0,0.4772273561373293,0.00010895850453482639
8,8.0,0.31353879545245655,-9.521535150054661e-05
